,Time,Action,Price,Change,Cum. Change,VWAP
0,20220506  13:10:00,Short,867.36,0.0,0.0,869.2577660400699
1,20220506  13:20:00,Cover,870.66,0.9961953514111788,0.9961953514111788,869.276285579059
2,20220506  13:30:00,Short,866.84,0.0,0.0,869.2651846166966
3,20220506  15:50:00,Cover,865.67,1.0013497300539893,0.9975450814651681,867.7437365593485
4,20220509  09:50:00,Short,834.18,0.0,0.0,834.8920167289982
5,20220509  10:30:00,Cover,807.02,1.0325589201371406,1.0301040016023086,827.769992550045
6,20220509  12:20:00,Short,817.87,0.0,0.0,818.6128190268149
7,20220509  15:30:00,Cover,793.22,1.03013926418624,1.0602432657885486,813.1019511576462
8,20220510  10:20:00,Short,806.02,0.0,0.0,810.0218901805781
9,20220510  11:00:00,Cover,779.56,1.0328279695292921,1.0930712353178407,805.18527409402
10,20220510  15:20:00,Short,797.8,0.0,0.0,800.4932947633015
11,20220510  15:50:00,Cover,800.04,0.9971922787666082,1.0902635140844488,800.2526090176939
12,20220511  10:00:00,Short,786.62,0.0,0.0,790.3604456432993
13,20220511  10:10:00,Cover,797.34,0.98637207291958,1.0766355870040287,790.717413247505
14,20220511  10:40:00,Short,789.23,0.0,0.0,792.2558405767942
15,20220511  12:50:00,Cover,763.7,1.0323479847446244,1.1089835717486531,786.5336665937936
16,20220512  12:00:00,Short,716.14,0.0,0.0,721.6592109944138
17,20220512  12:20:00,Cover,726.73,0.9852123886390929,1.094195960387746,721.5289256589969
18,20220512  13:30:00,Short,716.96,0.0,0.0,722.3748773397833
19,20220512  15:30:00,Cover,727.43,0.9853966748493641,1.0795926352371101,721.1611531304803
20,20220512  15:40:00,Short,718.2,0.0,0.0,721.1900777731304
21,20220512  15:50:00,Cover,728.0,0.9863547758284601,1.0659474110655702,721.3248455046464
22,20220513  10:10:00,Short,762.84,0.0,0.0,763.8082280299685
23,20220513  10:20:00,Cover,768.42,0.992685228881548,1.0586326399471182,764.2866261680506
24,20220513  13:50:00,Short,769.11,0.0,0.0,770.0002538516379
25,20220513  15:00:00,Cover,770.51,0.9981797142151319,1.05681235416225,769.1725468385248
26,20220513  15:30:00,Short,767.62,0.0,0.0,769.3435451050095
27,20220513  15:50:00,Cover,769.59,0.9974336260128709,1.054245980175121,769.2249142275776
28,20220516  09:40:00,Short,749.01,0.0,0.0,756.2816551619221
29,20220516  10:00:00,Cover,762.64,0.9818026461595973,1.0360486263347184,756.0183176388231
30,20220516  10:30:00,Short,753.26,0.0,0.0,758.137721649335
31,20220516  12:50:00,Cover,729.76,1.0311977272123836,1.067246353547102,747.3931947444026
32,20220517  09:40:00,Short,746.27,0.0,0.0,749.7496200734004
33,20220517  11:20:00,Cover,746.23,1.00005359990352,1.067299953450622,743.6230600292039
34,20220518  10:30:00,Short,747.5,0.0,0.0,748.8881077048743
35,20220518  10:40:00,Cover,751.73,0.9943411371237458,1.0616410905743678,748.9745374323279
36,20220518  11:00:00,Short,745.15,0.0,0.0,748.9651852542842
37,20220518  12:00:00,Cover,722.41,1.0305173455009058,1.0921584360752736,744.1616779334586
