,DateTime,Close,WAP,Volume,High,Low,Time Received,Time
66,20220608  09:30:00,10.51,10.55831,26590,11.33,10.04,2022-06-08 16:33:30.242912,09:30:00
67,20220608  09:35:00,10.0205,9.9948,20277,10.55,9.7,2022-06-08 16:33:30.242912,09:35:00
68,20220608  09:40:00,10.0342,10.34493,20777,10.7,9.91,2022-06-08 16:33:30.242912,09:40:00
69,20220608  09:45:00,9.88,9.67722,16030,10.08,9.42,2022-06-08 16:33:30.242912,09:45:00
70,20220608  09:50:00,9.84,9.67453,13445,10.0,9.25,2022-06-08 16:33:30.242912,09:50:00
71,20220608  09:55:00,10.08,10.18271,16134,10.4011,9.8101,2022-06-08 16:33:30.242912,09:55:00
72,20220608  10:00:00,9.7011,9.97566,12731,10.33,9.4,2022-06-08 16:33:30.242912,10:00:00
73,20220608  10:05:00,10.1,9.97152,8532,10.19,9.71,2022-06-08 16:33:30.242912,10:05:00
74,20220608  10:10:00,10.87,10.59494,25533,11.07,10.02,2022-06-08 16:33:30.242912,10:10:00
75,20220608  10:15:00,10.6576,10.73878,14744,10.97,10.52,2022-06-08 16:33:30.242912,10:15:00
76,20220608  10:20:00,12.12,11.40587,22701,12.12,10.62,2022-06-08 16:33:30.242912,10:20:00
77,20220608  10:25:00,11.63,12.16188,31105,12.76,11.5,2022-06-08 16:33:30.242912,10:25:00
78,20220608  10:30:00,11.4637,11.39003,27314,11.93,10.92,2022-06-08 16:33:30.242912,10:30:00
79,20220608  10:35:00,10.3215,10.58753,22376,11.5399,10.08,2022-06-08 16:33:30.242912,10:35:00
80,20220608  10:40:00,10.23,10.24443,11261,10.47,10.0,2022-06-08 16:33:30.242912,10:40:00
81,20220608  10:45:00,10.4633,10.22565,6239,10.49,10.02,2022-06-08 16:33:30.243875,10:45:00
82,20220608  10:50:00,10.2704,10.27734,5029,10.499,10.1,2022-06-08 16:33:30.243875,10:50:00
83,20220608  10:55:00,10.1783,10.20441,2943,10.3,10.08,2022-06-08 16:33:30.243875,10:55:00
84,20220608  11:00:00,9.9201,9.96485,7368,10.29,9.76,2022-06-08 16:33:30.243875,11:00:00
85,20220608  11:05:00,10.275,10.22619,6262,10.41,9.9,2022-06-08 16:33:30.243875,11:05:00
86,20220608  11:10:00,10.26,10.28262,3315,10.3899,10.2,2022-06-08 16:33:30.243875,11:10:00
87,20220608  11:15:00,10.09,10.11639,4252,10.37,9.91,2022-06-08 16:33:30.243875,11:15:00
88,20220608  11:20:00,9.9499,9.98387,4236,10.09,9.86,2022-06-08 16:33:30.243875,11:20:00
89,20220608  11:25:00,9.98,9.98835,4431,10.19,9.85,2022-06-08 16:33:30.243875,11:25:00
90,20220608  11:30:00,10.19,10.05358,5431,10.36,9.81,2022-06-08 16:33:30.243875,11:30:00
