,DateTime,Close,WAP,Volume,High,Low,Time Received,Date,same_day
0,20220608  04:00:00,10.01,10.14096,416,10.47,9.5,2022-06-08 16:33:30.238891,2022-06-08,True
1,20220608  04:05:00,10.07,10.0423,82,10.15,10.01,2022-06-08 16:33:30.238891,2022-06-08,True
2,20220608  04:10:00,10.42,10.31792,140,10.55,10.03,2022-06-08 16:33:30.238891,2022-06-08,True
3,20220608  04:15:00,10.25,10.24478,154,10.46,10.13,2022-06-08 16:33:30.238891,2022-06-08,True
4,20220608  04:20:00,10.34,10.33714,63,10.49,10.26,2022-06-08 16:33:30.238891,2022-06-08,True
5,20220608  04:25:00,10.21,10.28866,43,10.39,10.19,2022-06-08 16:33:30.238891,2022-06-08,True
6,20220608  04:30:00,10.28,10.25416,21,10.28,10.22,2022-06-08 16:33:30.238891,2022-06-08,True
7,20220608  04:35:00,10.24,10.25869,13,10.28,10.23,2022-06-08 16:33:30.238891,2022-06-08,True
8,20220608  04:40:00,10.06,10.17814,76,10.25,10.06,2022-06-08 16:33:30.238891,2022-06-08,True
9,20220608  04:45:00,10.1,10.08174,5,10.1,10.06,2022-06-08 16:33:30.238891,2022-06-08,True
10,20220608  04:50:00,10.17,10.17,2,10.17,10.17,2022-06-08 16:33:30.238891,2022-06-08,True
11,20220608  04:55:00,10.12,10.1379,2,10.15,10.12,2022-06-08 16:33:30.239887,2022-06-08,True
12,20220608  05:00:00,10.11,10.11,1,10.11,10.11,2022-06-08 16:33:30.239887,2022-06-08,True
13,20220608  05:05:00,10.17,10.11477,23,10.17,10.09,2022-06-08 16:33:30.239887,2022-06-08,True
14,20220608  05:10:00,10.18,10.18057,17,10.25,10.13,2022-06-08 16:33:30.239887,2022-06-08,True
15,20220608  05:15:00,10.13,10.18443,19,10.22,10.13,2022-06-08 16:33:30.239887,2022-06-08,True
16,20220608  05:20:00,10.1,10.11,4,10.13,10.1,2022-06-08 16:33:30.239887,2022-06-08,True
17,20220608  05:25:00,10.07,10.09578,46,10.13,10.07,2022-06-08 16:33:30.239887,2022-06-08,True
18,20220608  05:30:00,10.06,10.05829,14,10.07,10.05,2022-06-08 16:33:30.239887,2022-06-08,True
19,20220608  05:35:00,10.15,10.11573,17,10.15,10.09,2022-06-08 16:33:30.239887,2022-06-08,True
20,20220608  05:40:00,10.17,10.16672,9,10.18,10.14,2022-06-08 16:33:30.239887,2022-06-08,True
21,20220608  05:45:00,10.15,10.16744,30,10.18,10.15,2022-06-08 16:33:30.239887,2022-06-08,True
22,20220608  05:50:00,10.13,10.12696,23,10.15,10.11,2022-06-08 16:33:30.239887,2022-06-08,True
23,20220608  05:55:00,10.03,10.08697,54,10.14,10.03,2022-06-08 16:33:30.239887,2022-06-08,True
24,20220608  06:00:00,9.91,9.95359,56,10.05,9.91,2022-06-08 16:33:30.239887,2022-06-08,True
25,20220608  06:05:00,9.77,9.73702,112,9.91,9.65,2022-06-08 16:33:30.239887,2022-06-08,True
26,20220608  06:10:00,9.88,9.84336,20,9.9,9.8,2022-06-08 16:33:30.239887,2022-06-08,True
27,20220608  06:15:00,9.75,9.79566,43,9.9,9.75,2022-06-08 16:33:30.240920,2022-06-08,True
28,20220608  06:20:00,9.8,9.74155,15,9.8,9.71,2022-06-08 16:33:30.240920,2022-06-08,True
29,20220608  06:25:00,9.95,9.95302,65,10.01,9.77,2022-06-08 16:33:30.240920,2022-06-08,True
30,20220608  06:30:00,9.83,9.8454,7,9.95,9.83,2022-06-08 16:33:30.240920,2022-06-08,True
