,DateTime,Close,WAP,Volume,High,Low,Time Received
0,20220503  04:00:00,8.3,8.17829,50,8.42,7.63,2022-05-03 18:30:27.982194
1,20220503  04:01:00,8.2,8.31996,11,8.39,8.2,2022-05-03 18:30:27.982194
2,20220503  04:02:00,8.16,8.19097,17,8.26,8.16,2022-05-03 18:30:27.983190
3,20220503  04:03:00,8.04,8.1108,6,8.16,8.04,2022-05-03 18:30:27.983190
4,20220503  04:04:00,8.1,8.1,1,8.1,8.1,2022-05-03 18:30:27.983190
5,20220503  04:05:00,8.1,8.1,0,8.1,8.1,2022-05-03 18:30:27.983190
6,20220503  04:06:00,8.1,8.1,0,8.1,8.1,2022-05-03 18:30:27.983190
7,20220503  04:07:00,8.1,8.1,0,8.1,8.1,2022-05-03 18:30:27.983190
8,20220503  04:08:00,8.07,8.0954,9,8.15,8.07,2022-05-03 18:30:27.983190
9,20220503  04:09:00,8.0,8.03855,50,8.07,8.0,2022-05-03 18:30:27.983190
10,20220503  04:10:00,7.8,7.80363,51,7.95,7.77,2022-05-03 18:30:27.983190
11,20220503  04:11:00,7.89,7.75219,122,7.89,7.69,2022-05-03 18:30:27.983190
12,20220503  04:12:00,7.83,7.82595,33,7.89,7.77,2022-05-03 18:30:27.983190
13,20220503  04:13:00,7.9,7.88449,24,7.9,7.86,2022-05-03 18:30:27.983190
14,20220503  04:14:00,7.86,7.88204,26,7.96,7.85,2022-05-03 18:30:27.983190
15,20220503  04:15:00,7.88,7.86521,9,7.88,7.85,2022-05-03 18:30:27.983190
16,20220503  04:16:00,7.96,7.95066,39,7.96,7.89,2022-05-03 18:30:27.983190
17,20220503  04:17:00,7.94,7.94834,6,7.95,7.94,2022-05-03 18:30:27.984220
18,20220503  04:18:00,7.94,7.93865,26,7.94,7.93,2022-05-03 18:30:27.984220
19,20220503  04:19:00,7.93,7.93334,18,7.94,7.93,2022-05-03 18:30:27.984220
20,20220503  04:20:00,7.9,7.91965,9,7.94,7.9,2022-05-03 18:30:27.984220
21,20220503  04:21:00,7.93,7.93,2,7.93,7.93,2022-05-03 18:30:27.984220
22,20220503  04:22:00,7.93,7.93,0,7.93,7.93,2022-05-03 18:30:27.984220
23,20220503  04:23:00,7.9,7.9,2,7.9,7.9,2022-05-03 18:30:27.984220
24,20220503  04:24:00,7.93,7.93,1,7.93,7.93,2022-05-03 18:30:27.984220
25,20220503  04:25:00,7.93,7.93,0,7.93,7.93,2022-05-03 18:30:27.984220
26,20220503  04:26:00,7.86,7.86859,18,7.93,7.83,2022-05-03 18:30:27.984220
27,20220503  04:27:00,7.8,7.85296,26,7.86,7.8,2022-05-03 18:30:27.984220
28,20220503  04:28:00,7.73,7.72595,74,7.8,7.66,2022-05-03 18:30:27.984220
29,20220503  04:29:00,7.74,7.74208,66,7.8,7.71,2022-05-03 18:30:27.984220
30,20220503  04:30:00,7.75,7.77289,14,7.8,7.75,2022-05-03 18:30:27.984220
31,20220503  04:31:00,7.85,7.84875,8,7.85,7.84,2022-05-03 18:30:27.984220
32,20220503  04:32:00,7.75,7.75329,48,7.81,7.74,2022-05-03 18:30:27.985217
33,20220503  04:33:00,7.7,7.7362,29,7.8,7.7,2022-05-03 18:30:27.985217
34,20220503  04:34:00,7.7,7.67411,37,7.73,7.66,2022-05-03 18:30:27.985217
35,20220503  04:35:00,7.73,7.70153,12,7.73,7.68,2022-05-03 18:30:27.985217
36,20220503  04:36:00,7.7,7.6985,6,7.7,7.69,2022-05-03 18:30:27.985217
37,20220503  04:37:00,7.7,7.7,0,7.7,7.7,2022-05-03 18:30:27.985217
38,20220503  04:38:00,7.7,7.70356,8,7.71,7.7,2022-05-03 18:30:27.985217
39,20220503  04:39:00,7.8,7.79018,4,7.8,7.77,2022-05-03 18:30:27.985217
40,20220503  04:40:00,7.8,7.7936,9,7.8,7.78,2022-05-03 18:30:27.985217
41,20220503  04:41:00,7.76,7.7971,31,7.8,7.75,2022-05-03 18:30:27.985217
42,20220503  04:42:00,7.76,7.76,8,7.76,7.76,2022-05-03 18:30:27.985217
43,20220503  04:43:00,7.76,7.76,0,7.76,7.76,2022-05-03 18:30:27.985217
44,20220503  04:44:00,7.75,7.75721,6,7.79,7.75,2022-05-03 18:30:27.985217
45,20220503  04:45:00,7.75,7.75,0,7.75,7.75,2022-05-03 18:30:27.985217
46,20220503  04:46:00,7.75,7.75,0,7.75,7.75,2022-05-03 18:30:27.985217
47,20220503  04:47:00,7.75,7.75,3,7.75,7.75,2022-05-03 18:30:27.986216
48,20220503  04:48:00,7.79,7.78532,3,7.79,7.78,2022-05-03 18:30:27.986216
49,20220503  04:49:00,7.78,7.786,2,7.79,7.78,2022-05-03 18:30:27.986216
50,20220503  04:50:00,7.78,7.78,0,7.78,7.78,2022-05-03 18:30:27.986216
51,20220503  04:51:00,7.79,7.79,1,7.79,7.79,2022-05-03 18:30:27.986216
52,20220503  04:52:00,7.79,7.79,2,7.79,7.79,2022-05-03 18:30:27.986216
53,20220503  04:53:00,7.79,7.79,0,7.79,7.79,2022-05-03 18:30:27.986216
54,20220503  04:54:00,7.79,7.79,0,7.79,7.79,2022-05-03 18:30:27.986216
55,20220503  04:55:00,7.79,7.76429,10,7.79,7.76,2022-05-03 18:30:27.986216
56,20220503  04:56:00,7.79,7.79,10,7.79,7.79,2022-05-03 18:30:27.986216
57,20220503  04:57:00,7.78,7.78571,7,7.79,7.78,2022-05-03 18:30:27.986216
58,20220503  04:58:00,7.78,7.78,1,7.78,7.78,2022-05-03 18:30:27.986216
59,20220503  04:59:00,7.76,7.76387,9,7.77,7.76,2022-05-03 18:30:27.986216
60,20220503  05:00:00,7.76,7.76,1,7.76,7.76,2022-05-03 18:30:27.986216
61,20220503  05:01:00,7.75,7.76708,11,7.79,7.75,2022-05-03 18:30:27.986216
62,20220503  05:02:00,7.75,7.75,4,7.75,7.75,2022-05-03 18:30:27.987212
63,20220503  05:03:00,7.74,7.74,2,7.74,7.74,2022-05-03 18:30:27.987212
64,20220503  05:04:00,7.7,7.72805,15,7.74,7.7,2022-05-03 18:30:27.987212
65,20220503  05:05:00,7.74,7.7351,4,7.74,7.73,2022-05-03 18:30:27.987212
66,20220503  05:06:00,7.74,7.74,0,7.74,7.74,2022-05-03 18:30:27.987212
67,20220503  05:07:00,7.7,7.69892,27,7.7,7.69,2022-05-03 18:30:27.987212
68,20220503  05:08:00,7.69,7.69667,3,7.7,7.69,2022-05-03 18:30:27.987212
69,20220503  05:09:00,7.69,7.68162,6,7.7,7.66,2022-05-03 18:30:27.987212
70,20220503  05:10:00,7.7,7.69,4,7.7,7.66,2022-05-03 18:30:27.987212
71,20220503  05:11:00,7.75,7.76043,2,7.77,7.75,2022-05-03 18:30:27.987212
72,20220503  05:12:00,7.79,7.79,12,7.79,7.79,2022-05-03 18:30:27.987212
73,20220503  05:13:00,7.79,7.79,0,7.79,7.79,2022-05-03 18:30:27.987212
74,20220503  05:14:00,7.78,7.78,3,7.78,7.78,2022-05-03 18:30:27.987212
75,20220503  05:15:00,7.77,7.77,1,7.77,7.77,2022-05-03 18:30:27.987212
76,20220503  05:16:00,7.77,7.77,0,7.77,7.77,2022-05-03 18:30:27.987212
77,20220503  05:17:00,7.75,7.76875,16,7.77,7.75,2022-05-03 18:30:27.988205
78,20220503  05:18:00,7.74,7.74,1,7.74,7.74,2022-05-03 18:30:27.988205
79,20220503  05:19:00,7.79,7.78889,8,7.79,7.78,2022-05-03 18:30:27.988205
80,20220503  05:20:00,7.73,7.74622,16,7.78,7.73,2022-05-03 18:30:27.988205
81,20220503  05:21:00,7.73,7.73,0,7.73,7.73,2022-05-03 18:30:27.988205
82,20220503  05:22:00,7.73,7.73,0,7.73,7.73,2022-05-03 18:30:27.988205
83,20220503  05:23:00,7.73,7.73,3,7.73,7.73,2022-05-03 18:30:27.988205
84,20220503  05:24:00,7.78,7.78,5,7.78,7.78,2022-05-03 18:30:27.988205
85,20220503  05:25:00,7.78,7.78,0,7.78,7.78,2022-05-03 18:30:27.988205
86,20220503  05:26:00,7.75,7.758,5,7.76,7.75,2022-05-03 18:30:27.988205
87,20220503  05:27:00,7.76,7.76,4,7.76,7.76,2022-05-03 18:30:27.988205
88,20220503  05:28:00,7.75,7.76059,4,7.77,7.75,2022-05-03 18:30:27.988205
89,20220503  05:29:00,7.78,7.78,1,7.78,7.78,2022-05-03 18:30:27.988205
90,20220503  05:30:00,7.78,7.78,0,7.78,7.78,2022-05-03 18:30:27.988205
91,20220503  05:31:00,7.78,7.776,5,7.78,7.77,2022-05-03 18:30:27.988205
92,20220503  05:32:00,7.78,7.78,0,7.78,7.78,2022-05-03 18:30:27.988205
93,20220503  05:33:00,7.78,7.78,2,7.78,7.78,2022-05-03 18:30:27.989207
94,20220503  05:34:00,7.78,7.78,4,7.78,7.78,2022-05-03 18:30:27.989207
95,20220503  05:35:00,7.77,7.77,2,7.77,7.77,2022-05-03 18:30:27.989207
96,20220503  05:36:00,7.77,7.77,1,7.77,7.77,2022-05-03 18:30:27.989207
97,20220503  05:37:00,7.77,7.77,0,7.77,7.77,2022-05-03 18:30:27.989207
