,DateTime,Close,WAP,Volume,High,Low,Time Received,VWAP
0,20220429  04:00:00,3.62,3.62804,3,3.65,3.62,2022-04-30 19:00:06.601244,3.6300000000000003
1,20220429  04:05:00,3.54,3.54,3,3.54,3.54,2022-04-30 19:00:06.601244,3.5850000000000004
2,20220429  04:10:00,3.54,3.54,0,3.54,3.54,2022-04-30 19:00:06.601244,3.5850000000000004
3,20220429  04:15:00,3.55,3.55,11,3.55,3.55,2022-04-30 19:00:06.601244,3.56235294117647
4,20220429  04:20:00,3.55,3.55,0,3.55,3.55,2022-04-30 19:00:06.601244,3.56235294117647
5,20220429  04:25:00,3.55,3.55,0,3.55,3.55,2022-04-30 19:00:06.601244,3.56235294117647
6,20220429  04:30:00,3.55,3.55,0,3.55,3.55,2022-04-30 19:00:06.601244,3.56235294117647
7,20220429  04:35:00,3.55,3.55,19,3.55,3.55,2022-04-30 19:00:06.601244,3.555833333333333
8,20220429  04:40:00,3.55,3.55,0,3.55,3.55,2022-04-30 19:00:06.601244,3.555833333333333
9,20220429  04:45:00,3.64,3.60294,13,3.64,3.6,2022-04-30 19:00:06.601244,3.5746258503401362
10,20220429  04:50:00,3.64,3.64,0,3.64,3.64,2022-04-30 19:00:06.601244,3.5746258503401362
11,20220429  04:55:00,3.64,3.64,0,3.64,3.64,2022-04-30 19:00:06.602240,3.5746258503401362
12,20220429  05:00:00,3.64,3.64,0,3.64,3.64,2022-04-30 19:00:06.602240,3.5746258503401362
13,20220429  05:05:00,3.64,3.64,0,3.64,3.64,2022-04-30 19:00:06.602240,3.5746258503401362
14,20220429  05:10:00,3.64,3.64,0,3.64,3.64,2022-04-30 19:00:06.602240,3.5746258503401362
15,20220429  05:15:00,3.64,3.64,0,3.64,3.64,2022-04-30 19:00:06.602240,3.5746258503401362
16,20220429  05:20:00,3.6,3.6,6,3.6,3.6,2022-04-30 19:00:06.602240,3.5773939393939393
17,20220429  05:25:00,3.6,3.6,2,3.6,3.6,2022-04-30 19:00:06.602240,3.5781871345029237
18,20220429  05:30:00,3.6,3.678,5,3.7,3.6,2022-04-30 19:00:06.602240,3.58263440860215
19,20220429  05:35:00,3.6,3.6,0,3.6,3.6,2022-04-30 19:00:06.602240,3.58263440860215
20,20220429  05:40:00,3.6,3.6,0,3.6,3.6,2022-04-30 19:00:06.602240,3.58263440860215
21,20220429  05:45:00,3.6,3.6,0,3.6,3.6,2022-04-30 19:00:06.602240,3.58263440860215
22,20220429  05:50:00,3.67,3.67,1,3.67,3.67,2022-04-30 19:00:06.602240,3.584021164021163
23,20220429  05:55:00,3.67,3.67,0,3.67,3.67,2022-04-30 19:00:06.602240,3.584021164021163
24,20220429  06:00:00,3.67,3.67,0,3.67,3.67,2022-04-30 19:00:06.602240,3.584021164021163
25,20220429  06:05:00,3.67,3.67,0,3.67,3.67,2022-04-30 19:00:06.602240,3.584021164021163
26,20220429  06:10:00,3.72,3.72352,12,3.73,3.72,2022-04-30 19:00:06.602240,3.606311111111111
27,20220429  06:15:00,3.8,3.77836,9,3.8,3.75,2022-04-30 19:00:06.602240,3.6252777777777774
28,20220429  06:20:00,3.8,3.8,0,3.8,3.8,2022-04-30 19:00:06.603239,3.6252777777777774
29,20220429  06:25:00,3.8,3.79784,4,3.8,3.79,2022-04-30 19:00:06.603239,3.6330681818181816
30,20220429  06:30:00,3.8,3.8,1,3.8,3.8,2022-04-30 19:00:06.603239,3.634943820224719
31,20220429  06:35:00,3.8,3.8,1,3.8,3.8,2022-04-30 19:00:06.603239,3.6367777777777777
32,20220429  06:40:00,3.79,3.78922,9,3.8,3.78,2022-04-30 19:00:06.603239,3.650707070707071
33,20220429  06:45:00,3.79,3.79,0,3.79,3.79,2022-04-30 19:00:06.603239,3.650707070707071
34,20220429  06:50:00,3.8,3.78921,24,3.8,3.78,2022-04-30 19:00:06.603239,3.678536585365854
35,20220429  06:55:00,3.76,3.74707,12,3.77,3.73,2022-04-30 19:00:06.603239,3.6851851851851856
36,20220429  07:00:00,3.72,3.71108,37,3.72,3.7,2022-04-30 19:00:06.603239,3.6912403100775197
37,20220429  07:05:00,3.72,3.72,4,3.72,3.72,2022-04-30 19:00:06.603239,3.69189393939394
38,20220429  07:10:00,3.72,3.71795,14,3.72,3.7,2022-04-30 19:00:06.603239,3.693473684210527
39,20220429  07:15:00,3.8,3.7699,76,3.8,3.69,2022-04-30 19:00:06.603239,3.7134335839599
40,20220429  07:20:00,3.78,3.78,6,3.78,3.78,2022-04-30 19:00:06.603239,3.7149019607843137
41,20220429  07:25:00,3.77,3.77857,17,3.78,3.77,2022-04-30 19:00:06.603239,3.718339100346021
42,20220429  07:30:00,3.77,3.77,1,3.77,3.77,2022-04-30 19:00:06.603239,3.7185172413793106
43,20220429  07:35:00,3.74,3.7465,23,3.76,3.72,2022-04-30 19:00:06.603239,3.7200958466453677
44,20220429  07:40:00,3.79,3.74601,157,3.79,3.72,2022-04-30 19:00:06.603239,3.7356524822695034
45,20220429  07:45:00,3.76,3.76204,30,3.77,3.76,2022-04-30 19:00:06.604235,3.7373133333333337
46,20220429  07:50:00,3.74,3.73516,4,3.74,3.73,2022-04-30 19:00:06.604235,3.7373082010582013
47,20220429  07:55:00,3.73,3.73636,22,3.74,3.73,2022-04-30 19:00:06.604235,3.7371419518377698
48,20220429  08:00:00,3.72,3.73658,804,3.8,3.69,2022-04-30 19:00:06.604235,3.7368546365914783
49,20220429  08:05:00,3.74,3.73438,60,3.75,3.73,2022-04-30 19:00:06.604235,3.7369904076738605
50,20220429  08:10:00,3.8,3.78934,150,3.81,3.76,2022-04-30 19:00:06.604235,3.742153679653679
51,20220429  08:15:00,3.85,3.81937,198,3.85,3.8,2022-04-30 19:00:06.604235,3.7525412351361713
52,20220429  08:20:00,3.88,3.87577,404,3.9,3.82,2022-04-30 19:00:06.604235,3.7740662931839397
53,20220429  08:25:00,3.93,3.91908,253,3.95,3.88,2022-04-30 19:00:06.604235,3.789482254697286
54,20220429  08:30:00,4.0,4.05489,1235,4.14,3.93,2022-04-30 19:00:06.604235,3.869043158861341
55,20220429  08:35:00,4.07,4.04092,316,4.08,4.0,2022-04-30 19:00:06.604235,3.8835343808075686
56,20220429  08:40:00,3.95,4.01624,474,4.08,3.95,2022-04-30 19:00:06.604235,3.895309200603318
57,20220429  08:45:00,3.97,3.97679,196,4.0,3.95,2022-04-30 19:00:06.604235,3.898622183708839
58,20220429  08:50:00,4.0,3.99569,553,4.04,3.95,2022-04-30 19:00:06.604235,3.9091113690591346
59,20220429  08:55:00,3.98,3.98141,194,4.02,3.95,2022-04-30 19:00:06.604235,3.9117962583131334
60,20220429  09:00:00,3.98,3.97591,114,3.99,3.96,2022-04-30 19:00:06.604235,3.9131464913882295
61,20220429  09:05:00,3.98,3.97588,120,3.98,3.96,2022-04-30 19:00:06.604235,3.914436900720624
62,20220429  09:10:00,4.08,4.03287,896,4.1,3.9699,2022-04-30 19:00:06.604235,3.9331392987319673
63,20220429  09:15:00,4.04,4.03093,488,4.06,4.0,2022-04-30 19:00:06.604235,3.940143265052762
64,20220429  09:20:00,4.2,4.14762,1687,4.22,4.03,2022-04-30 19:00:06.605234,3.9809864020919856
65,20220429  09:25:00,4.17,4.24095,1496,4.3,4.14,2022-04-30 19:00:06.605234,4.013712790240063
66,20220429  09:30:00,4.255,4.16057,12839,4.2999,3.9701,2022-04-30 19:00:06.605234,4.103734373777333
67,20220429  09:35:00,4.44,4.26409,27626,4.46,4.0901,2022-04-30 19:00:06.605234,4.227215680077952
68,20220429  09:40:00,4.44,4.45522,34353,4.64,4.33,2022-04-30 19:00:06.605234,4.325358460222948
69,20220429  09:45:00,4.6318,4.49732,32929,4.67,4.33,2022-04-30 19:00:06.605234,4.38639985582346
70,20220429  09:50:00,4.8501,4.87104,58024,5.0399,4.59,2022-04-30 19:00:06.605234,4.531601444093936
71,20220429  09:55:00,4.76,4.87681,32794,4.99,4.72,2022-04-30 19:00:06.605234,4.577436261372402
72,20220429  10:00:00,4.835,4.84581,25490,4.98,4.7001,2022-04-30 19:00:06.605234,4.6058332574784
73,20220429  10:05:00,4.4805,4.59689,32120,4.9099,4.41,2022-04-30 19:00:06.605234,4.605145856971754
74,20220429  10:10:00,4.39,4.47937,11009,4.55,4.38,2022-04-30 19:00:06.605234,4.59859058799775
75,20220429  10:15:00,4.3612,4.34024,20062,4.43,4.26,2022-04-30 19:00:06.605234,4.581848717931475
76,20220429  10:20:00,4.34,4.3534,12280,4.41,4.27,2022-04-30 19:00:06.605234,4.572258798152991
77,20220429  10:25:00,4.44,4.36099,9379,4.45,4.29,2022-04-30 19:00:06.605234,4.566999302763143
78,20220429  10:30:00,4.35,4.43147,10212,4.49,4.3388,2022-04-30 19:00:06.605234,4.561600990440788
79,20220429  10:35:00,4.2199,4.2456,13281,4.385,4.16,2022-04-30 19:00:06.605234,4.549712892945899
80,20220429  10:40:00,4.215,4.21924,4937,4.25,4.16,2022-04-30 19:00:06.605234,4.5448628332743395
81,20220429  10:45:00,4.1281,4.16895,5889,4.24,4.09,2022-04-30 19:00:06.605234,4.538327673831596
82,20220429  10:50:00,4.17,4.14274,2718,4.1708,4.11,2022-04-30 19:00:06.605234,4.535365775359022
83,20220429  10:55:00,4.21,4.1861,3629,4.23,4.13,2022-04-30 19:00:06.606231,4.531881731830374
84,20220429  11:00:00,4.2599,4.22752,3343,4.27,4.19,2022-04-30 19:00:06.606231,4.529193956578659
85,20220429  11:05:00,4.3101,4.28776,3267,4.3399,4.22,2022-04-30 19:00:06.606231,4.52706086712434
86,20220429  11:10:00,4.28,4.29292,3543,4.33,4.255,2022-04-30 19:00:06.606231,4.524774197504829
87,20220429  11:15:00,4.2283,4.23623,1718,4.285,4.21,2022-04-30 19:00:06.606231,4.523462721717804
88,20220429  11:20:00,4.23,4.19076,2665,4.25,4.14,2022-04-30 19:00:06.606231,4.521206972576911
89,20220429  11:25:00,4.2235,4.24752,2503,4.28,4.2,2022-04-30 19:00:06.606231,4.519302309430409
90,20220429  11:30:00,4.32,4.30608,3352,4.36,4.22,2022-04-30 19:00:06.606231,4.517368473436
91,20220429  11:35:00,4.3793,4.3649,3558,4.3966,4.3113,2022-04-30 19:00:06.606231,4.515931411091765
92,20220429  11:40:00,4.41,4.38544,3946,4.44,4.3,2022-04-30 19:00:06.606231,4.5145815877684035
93,20220429  11:45:00,4.4022,4.48907,8801,4.57,4.4,2022-04-30 19:00:06.606231,4.513312123084891
94,20220429  11:50:00,4.57,4.59191,10059,4.67,4.4,2022-04-30 19:00:06.606231,4.514137514494
95,20220429  11:55:00,4.52,4.5222,4722,4.58,4.45,2022-04-30 19:00:06.606231,4.514166557071939
96,20220429  12:00:00,4.46,4.54913,4886,4.62,4.46,2022-04-30 19:00:06.606231,4.514156773003794
97,20220429  12:05:00,4.4601,4.49054,2176,4.53,4.46,2022-04-30 19:00:06.606231,4.513996592664138
98,20220429  12:10:00,4.67,4.6255,8059,4.71,4.46,2022-04-30 19:00:06.606231,4.515874361434214
99,20220429  12:15:00,4.79,4.75272,10383,4.81,4.62,2022-04-30 19:00:06.606231,4.521202988059363
100,20220429  12:20:00,4.72,4.73278,6853,4.8,4.65,2022-04-30 19:00:06.606231,4.524325837618648
101,20220429  12:25:00,4.88,4.80491,9411,4.88,4.7,2022-04-30 19:00:06.606231,4.530468690597082
102,20220429  12:30:00,4.9601,4.90372,13001,4.98,4.82,2022-04-30 19:00:06.607228,4.541337652894287
103,20220429  12:35:00,4.63,4.83794,25431,5.19,4.49,2022-04-30 19:00:06.607228,4.553171128977992
104,20220429  12:40:00,4.7399,4.73668,10443,4.92,4.5701,2022-04-30 19:00:06.607228,4.557128176133211
105,20220429  12:45:00,4.7,4.74209,4150,4.8,4.665,2022-04-30 19:00:06.607228,4.558477638560882
106,20220429  12:50:00,4.6622,4.71356,5302,4.79,4.61,2022-04-30 19:00:06.607228,4.559814499508121
107,20220429  12:55:00,4.5527,4.57122,8093,4.67,4.48,2022-04-30 19:00:06.607228,4.5599352894365275
108,20220429  13:00:00,4.67,4.62763,3818,4.7,4.5534,2022-04-30 19:00:06.607228,4.560527803707057
109,20220429  13:05:00,4.61,4.63141,4674,4.71,4.55,2022-04-30 19:00:06.607228,4.561083889128835
110,20220429  13:10:00,4.71,4.68821,3369,4.74,4.61,2022-04-30 19:00:06.607228,4.561880274290789
111,20220429  13:15:00,4.7999,4.73336,3232,4.8,4.67,2022-04-30 19:00:06.607228,4.563057917191305
112,20220429  13:20:00,4.775,4.77506,4634,4.85,4.71,2022-04-30 19:00:06.607228,4.564908290625398
113,20220429  13:25:00,4.8101,4.83607,5574,4.88,4.7711,2022-04-30 19:00:06.607228,4.567522772309944
114,20220429  13:30:00,4.905,4.87042,4626,4.92,4.81,2022-04-30 19:00:06.607228,4.570140174431621
115,20220429  13:35:00,4.7701,4.78684,7092,4.9099,4.61,2022-04-30 19:00:06.607228,4.57260257395955
116,20220429  13:40:00,4.764,4.78397,2438,4.84,4.73,2022-04-30 19:00:06.607228,4.573498615209255
117,20220429  13:45:00,4.88,4.87543,6359,4.94,4.76,2022-04-30 19:00:06.607228,4.576721917992412
118,20220429  13:50:00,4.8,4.88863,9635,4.99,4.76,2022-04-30 19:00:06.607228,4.581302295029493
