,Time,Action,Price,Change,Cum. Change,VWAP
0,20220506  10:00:00,Buy,4.57,0.0,0.0,4.504409310496267
1,20220506  15:20:00,Sell,5.05,1.1050328227571116,1.1050328227571116,4.732519561815336
2,20220509  10:10:00,Buy,4.85,0.0,0.0,4.790709219858156
3,20220509  10:30:00,Sell,4.74,0.9773195876288661,1.0823524103859776,4.80701244813278
4,20220509  10:50:00,Buy,4.81,0.0,0.0,4.8023322683706064
5,20220509  12:40:00,Sell,4.82,1.0020790020790022,1.0844314124649799,4.856135563380283
6,20220510  14:40:00,Buy,4.24,0.0,0.0,4.239286661363033
7,20220510  15:20:00,Sell,4.21,0.9929245283018867,1.0773559407668667,4.239335544092359
8,20220510  15:50:00,Buy,4.25,0.0,0.0,4.237786903197546
9,20220510  15:50:00,Sell,4.25,1.0,1.0773559407668667,4.237786903197546
10,20220511  10:00:00,Buy,4.22,0.0,0.0,4.199073243647235
11,20220511  10:10:00,Sell,4.19,0.9928909952606637,1.0702469360275304,4.1980916976456015
12,20220511  10:20:00,Buy,4.27,0.0,0.0,4.203610188261352
13,20220511  12:20:00,Sell,4.23,0.9906323185011712,1.0608792545287016,4.274765873015874
14,20220512  10:00:00,Buy,3.89,0.0,0.0,3.8833142857142855
15,20220512  10:10:00,Sell,3.88,0.9974293059125964,1.0583085604412978,3.8806150341685646
16,20220512  10:30:00,Buy,3.92,0.0,0.0,3.882668449878996
17,20220512  13:10:00,Sell,4.34,1.1071428571428572,1.165451417584155,3.987287160439881
18,20220513  09:50:00,Buy,4.48,0.0,0.0,4.435435005117707
19,20220513  10:00:00,Sell,4.41,0.9843749999999999,1.149826417584155,4.431616438356165
20,20220516  09:40:00,Buy,3.94,0.0,0.0,3.939387205387205
21,20220516  10:00:00,Sell,3.91,0.9923857868020305,1.1422122043861855,3.948221859706361
22,20220516  10:10:00,Buy,4.0,0.0,0.0,3.953814333814333
23,20220516  10:20:00,Sell,3.95,0.9875,1.1297122043861856,3.9539991003148893
24,20220516  10:30:00,Buy,4.02,0.0,0.0,3.9605269320843086
25,20220516  12:10:00,Sell,3.99,0.992537313432836,1.1222495178190215,3.990026478375992
26,20220517  09:50:00,Buy,3.84,0.0,0.0,3.7276341948310145
27,20220517  10:00:00,Sell,3.73,0.9713541666666667,1.0936036844856882,3.730327408793265
28,20220517  10:10:00,Buy,3.82,0.0,0.0,3.7342741702741704
29,20220517  12:20:00,Sell,4.25,1.1125654450261782,1.2061691295118664,3.8443695014662755
30,20220518  09:40:00,Buy,4.52,0.0,0.0,4.503333333333333
31,20220518  10:20:00,Sell,4.61,1.0199115044247788,1.2260806339366452,4.626994910941475
32,20220518  10:40:00,Buy,4.64,0.0,0.0,4.6186287333769345
33,20220518  15:40:00,Sell,4.88,1.0517241379310345,1.2778047718676797,4.736631476489966
