,DateTime,Close,WAP,Volume,High,Low,Time Received
0,20220412  04:00:00,13.34,14.01902,2345,15.02,13.1,2022-05-08 23:32:50.453240
1,20220412  04:15:00,12.8,13.07103,982,13.34,12.77,2022-05-08 23:32:50.453240
2,20220412  04:30:00,12.69,12.72944,705,12.91,12.53,2022-05-08 23:32:50.454241
3,20220412  04:45:00,12.57,12.62943,582,12.7,12.53,2022-05-08 23:32:50.454241
4,20220412  05:00:00,12.5,12.57014,516,12.7,12.42,2022-05-08 23:32:50.454241
5,20220412  05:15:00,12.81,12.70343,1029,12.99,12.36,2022-05-08 23:32:50.454241
6,20220412  05:30:00,12.81,12.74868,505,12.9,12.65,2022-05-08 23:32:50.454241
7,20220412  05:45:00,13.08,13.13111,954,13.35,12.8,2022-05-08 23:32:50.454241
8,20220412  06:00:00,13.04,13.07091,523,13.2,13.01,2022-05-08 23:32:50.454241
9,20220412  06:15:00,13.9,13.50979,1065,13.96,13.04,2022-05-08 23:32:50.454241
10,20220412  06:30:00,14.14,14.14535,2790,14.5,13.8,2022-05-08 23:32:50.454241
11,20220412  06:45:00,14.0,14.09585,1635,14.35,13.87,2022-05-08 23:32:50.454241
12,20220412  07:00:00,15.11,14.90281,10325,15.35,13.57,2022-05-08 23:32:50.454241
13,20220412  07:15:00,14.0,14.43467,6859,15.2,13.75,2022-05-08 23:32:50.454241
14,20220412  07:30:00,13.62,13.83549,5401,14.24,13.48,2022-05-08 23:32:50.454241
15,20220412  07:45:00,13.7,13.72415,2859,13.95,13.51,2022-05-08 23:32:50.454241
16,20220412  08:00:00,13.4,13.97397,16143,14.74,13.38,2022-05-08 23:32:50.454241
17,20220412  08:15:00,12.9,13.154,10648,13.57,12.74,2022-05-08 23:32:50.454241
18,20220412  08:30:00,13.65,13.34313,11308,13.81,12.82,2022-05-08 23:32:50.454241
19,20220412  08:45:00,13.05,13.40786,6543,13.9,13.02,2022-05-08 23:32:50.454241
20,20220412  09:00:00,13.87,13.82246,13605,14.19,13.03,2022-05-08 23:32:50.454241
21,20220412  09:15:00,13.6,13.8707,12237,14.22,13.53,2022-05-08 23:32:50.454241
22,20220412  09:30:00,12.0899,12.90005,132174,13.87,12.02,2022-05-08 23:32:50.454241
23,20220412  09:45:00,11.3799,11.66831,72735,12.29,11.13,2022-05-08 23:32:50.455237
24,20220412  10:00:00,11.0899,11.14352,58736,11.55,10.81,2022-05-08 23:32:50.455237
25,20220412  10:15:00,11.1601,11.184,50100,11.45,10.87,2022-05-08 23:32:50.455237
26,20220412  10:30:00,10.29,10.64304,51603,11.21,10.28,2022-05-08 23:32:50.455237
27,20220412  10:45:00,10.6803,10.50364,37821,10.82,10.22,2022-05-08 23:32:50.455237
28,20220412  11:00:00,10.21,10.22812,37771,10.695,9.93,2022-05-08 23:32:50.455237
29,20220412  11:15:00,10.34,10.24289,19345,10.41,10.1,2022-05-08 23:32:50.455237
30,20220412  11:30:00,10.66,10.54674,23117,10.71,10.29,2022-05-08 23:32:50.455237
31,20220412  11:45:00,10.455,10.56926,18519,10.79,10.39,2022-05-08 23:32:50.455237
32,20220412  12:00:00,10.415,10.25064,18737,10.455,10.13,2022-05-08 23:32:50.455237
33,20220412  12:15:00,10.2701,10.31765,11159,10.44,10.13,2022-05-08 23:32:50.455237
34,20220412  12:30:00,10.0788,10.19854,9435,10.31,10.05,2022-05-08 23:32:50.455237
35,20220412  12:45:00,9.9645,9.89662,24554,10.11,9.77,2022-05-08 23:32:50.455237
36,20220412  13:00:00,10.205,10.1489,15539,10.36,9.96,2022-05-08 23:32:50.455237
37,20220412  13:15:00,10.2592,10.15463,9205,10.28,10.07,2022-05-08 23:32:50.455237
38,20220412  13:30:00,10.1,10.14679,7551,10.26,10.07,2022-05-08 23:32:50.455237
39,20220412  13:45:00,10.32,10.19282,9223,10.33,10.04,2022-05-08 23:32:50.455237
40,20220412  14:00:00,9.9385,10.08046,11495,10.34,9.9,2022-05-08 23:32:50.455237
41,20220412  14:15:00,9.89,9.88455,8539,9.98,9.8,2022-05-08 23:32:50.455237
42,20220412  14:30:00,9.7687,9.80468,8099,9.8802,9.7402,2022-05-08 23:32:50.455237
43,20220412  14:45:00,9.93,9.97465,15718,10.1999,9.7,2022-05-08 23:32:50.455237
44,20220412  15:00:00,9.6215,9.75647,13456,9.935,9.6,2022-05-08 23:32:50.456235
45,20220412  15:15:00,9.68,9.72618,9508,9.82,9.62,2022-05-08 23:32:50.456235
46,20220412  15:30:00,9.96,9.91442,19860,10.05,9.6401,2022-05-08 23:32:50.456235
47,20220412  15:45:00,10.0185,10.01376,20195,10.19,9.88,2022-05-08 23:32:50.456235
48,20220412  16:00:00,10.38,10.14244,5647,10.42,9.9,2022-05-08 23:32:50.456235
49,20220412  16:15:00,10.45,10.40575,2696,10.5,10.28,2022-05-08 23:32:50.456235
50,20220412  16:30:00,10.37,10.39253,671,10.45,10.34,2022-05-08 23:32:50.456235
51,20220412  16:45:00,10.58,10.56083,2518,10.66,10.35,2022-05-08 23:32:50.456235
52,20220412  17:00:00,10.42,10.46062,1095,10.58,10.37,2022-05-08 23:32:50.456235
53,20220412  17:15:00,10.43,10.46794,514,10.54,10.4,2022-05-08 23:32:50.456235
54,20220412  17:30:00,10.4,10.33028,918,10.45,10.22,2022-05-08 23:32:50.456235
55,20220412  17:45:00,10.32,10.33992,392,10.4,10.26,2022-05-08 23:32:50.456235
56,20220412  18:00:00,10.35,10.306,294,10.36,10.28,2022-05-08 23:32:50.456235
57,20220412  18:15:00,10.23,10.27783,251,10.36,10.23,2022-05-08 23:32:50.456235
58,20220412  18:30:00,10.31,10.25723,238,10.37,10.21,2022-05-08 23:32:50.456235
59,20220412  18:45:00,10.29,10.30816,43,10.35,10.25,2022-05-08 23:32:50.456235
60,20220412  19:00:00,10.25,10.27863,154,10.34,10.25,2022-05-08 23:32:50.456235
61,20220412  19:15:00,10.25,10.2682,215,10.28,10.25,2022-05-08 23:32:50.456235
62,20220412  19:30:00,10.2299,10.26111,193,10.28,10.22,2022-05-08 23:32:50.456235
