,DateTime,Close,WAP,Volume,High,Low,Time Received,Date,same_day
0,20220621  04:00:00,18.33,18.98427,7,19.14,18.33,2022-06-26 13:51:04.315816,2022-06-21,True
1,20220621  04:05:00,18.44,18.44571,5,18.45,18.44,2022-06-26 13:51:04.315816,2022-06-21,True
2,20220621  04:10:00,18.44,18.44,5,18.44,18.44,2022-06-26 13:51:04.315816,2022-06-21,True
3,20220621  04:15:00,18.83,18.83,1,18.83,18.83,2022-06-26 13:51:04.315816,2022-06-21,True
4,20220621  04:20:00,18.69,18.66633,15,18.7,18.56,2022-06-26 13:51:04.315816,2022-06-21,True
5,20220621  04:25:00,18.69,18.69,0,18.69,18.69,2022-06-26 13:51:04.316814,2022-06-21,True
6,20220621  04:30:00,18.66,18.64934,12,18.66,18.6,2022-06-26 13:51:04.316814,2022-06-21,True
7,20220621  04:35:00,18.72,18.87429,7,18.9,18.72,2022-06-26 13:51:04.316814,2022-06-21,True
8,20220621  04:40:00,18.72,18.72,0,18.72,18.72,2022-06-26 13:51:04.316814,2022-06-21,True
9,20220621  04:45:00,18.72,18.72,4,18.72,18.72,2022-06-26 13:51:04.316814,2022-06-21,True
10,20220621  04:50:00,18.72,18.72,0,18.72,18.72,2022-06-26 13:51:04.316814,2022-06-21,True
11,20220621  04:55:00,18.72,18.72,0,18.72,18.72,2022-06-26 13:51:04.316814,2022-06-21,True
12,20220621  05:00:00,18.72,18.72,0,18.72,18.72,2022-06-26 13:51:04.316814,2022-06-21,True
13,20220621  05:05:00,18.79,18.75271,2,18.79,18.72,2022-06-26 13:51:04.316814,2022-06-21,True
14,20220621  05:10:00,18.79,18.79,0,18.79,18.79,2022-06-26 13:51:04.316814,2022-06-21,True
15,20220621  05:15:00,18.79,18.79,0,18.79,18.79,2022-06-26 13:51:04.316814,2022-06-21,True
16,20220621  05:20:00,18.79,18.79,0,18.79,18.79,2022-06-26 13:51:04.316814,2022-06-21,True
17,20220621  05:25:00,18.77,18.77,1,18.77,18.77,2022-06-26 13:51:04.316814,2022-06-21,True
18,20220621  05:30:00,18.77,18.77,0,18.77,18.77,2022-06-26 13:51:04.316814,2022-06-21,True
19,20220621  05:35:00,18.77,18.77,0,18.77,18.77,2022-06-26 13:51:04.316814,2022-06-21,True
20,20220621  05:40:00,18.77,18.77,0,18.77,18.77,2022-06-26 13:51:04.316814,2022-06-21,True
21,20220621  05:45:00,18.77,18.77,0,18.77,18.77,2022-06-26 13:51:04.316814,2022-06-21,True
22,20220621  05:50:00,18.77,18.77,0,18.77,18.77,2022-06-26 13:51:04.316814,2022-06-21,True
23,20220621  05:55:00,18.77,18.77,0,18.77,18.77,2022-06-26 13:51:04.316814,2022-06-21,True
24,20220621  06:00:00,18.66,18.66,1,18.66,18.66,2022-06-26 13:51:04.316814,2022-06-21,True
25,20220621  06:05:00,18.66,18.66,0,18.66,18.66,2022-06-26 13:51:04.316814,2022-06-21,True
26,20220621  06:10:00,18.66,18.66,0,18.66,18.66,2022-06-26 13:51:04.316814,2022-06-21,True
27,20220621  06:15:00,18.71,18.71,1,18.71,18.71,2022-06-26 13:51:04.316814,2022-06-21,True
28,20220621  06:20:00,18.71,18.71,0,18.71,18.71,2022-06-26 13:51:04.316814,2022-06-21,True
29,20220621  06:25:00,18.71,18.71,0,18.71,18.71,2022-06-26 13:51:04.316814,2022-06-21,True
30,20220621  06:30:00,18.71,18.71,0,18.71,18.71,2022-06-26 13:51:04.316814,2022-06-21,True
31,20220621  06:35:00,18.71,18.71,0,18.71,18.71,2022-06-26 13:51:04.316814,2022-06-21,True
32,20220621  06:40:00,18.71,18.71,0,18.71,18.71,2022-06-26 13:51:04.316814,2022-06-21,True
33,20220621  06:45:00,18.71,18.71,0,18.71,18.71,2022-06-26 13:51:04.316814,2022-06-21,True
34,20220621  06:50:00,18.71,18.71,0,18.71,18.71,2022-06-26 13:51:04.316814,2022-06-21,True
35,20220621  06:55:00,18.71,18.71,0,18.71,18.71,2022-06-26 13:51:04.316814,2022-06-21,True
36,20220621  07:00:00,18.35,18.42832,5,18.5,18.35,2022-06-26 13:51:04.317811,2022-06-21,True
37,20220621  07:05:00,17.75,18.09826,26,18.35,17.7,2022-06-26 13:51:04.317811,2022-06-21,True
38,20220621  07:10:00,18.0,17.9975,8,18.0,17.99,2022-06-26 13:51:04.317811,2022-06-21,True
39,20220621  07:15:00,18.0,18.00524,13,18.02,17.99,2022-06-26 13:51:04.317811,2022-06-21,True
40,20220621  07:20:00,18.0,18.0,0,18.0,18.0,2022-06-26 13:51:04.317811,2022-06-21,True
41,20220621  07:25:00,18.0,18.00246,5,18.01,18.0,2022-06-26 13:51:04.317811,2022-06-21,True
42,20220621  07:30:00,18.0,18.0,0,18.0,18.0,2022-06-26 13:51:04.317811,2022-06-21,True
43,20220621  07:35:00,18.01,18.01,3,18.01,18.01,2022-06-26 13:51:04.317811,2022-06-21,True
44,20220621  07:40:00,18.01,18.01,0,18.01,18.01,2022-06-26 13:51:04.317811,2022-06-21,True
45,20220621  07:45:00,18.02,18.03187,3,18.04,18.02,2022-06-26 13:51:04.317811,2022-06-21,True
46,20220621  07:50:00,18.02,18.02,0,18.02,18.02,2022-06-26 13:51:04.317811,2022-06-21,True
47,20220621  07:55:00,18.02,18.02,0,18.02,18.02,2022-06-26 13:51:04.317811,2022-06-21,True
48,20220621  08:00:00,18.2,18.22744,151,18.59,17.97,2022-06-26 13:51:04.317811,2022-06-21,True
49,20220621  08:05:00,18.37,18.33041,62,18.37,18.24,2022-06-26 13:51:04.317811,2022-06-21,True
50,20220621  08:10:00,18.25,18.29604,11,18.36,18.25,2022-06-26 13:51:04.317811,2022-06-21,True
51,20220621  08:15:00,18.22,18.25691,14,18.2899,18.22,2022-06-26 13:51:04.317811,2022-06-21,True
52,20220621  08:20:00,18.1986,18.20308,91,18.2899,18.1986,2022-06-26 13:51:04.317811,2022-06-21,True
53,20220621  08:25:00,18.27,18.04083,12,18.27,18.02,2022-06-26 13:51:04.317811,2022-06-21,True
54,20220621  08:30:00,18.06,18.10995,14,18.2,18.05,2022-06-26 13:51:04.317811,2022-06-21,True
55,20220621  08:35:00,18.25,18.22838,5,18.2823,18.06,2022-06-26 13:51:04.317811,2022-06-21,True
56,20220621  08:40:00,18.29,18.29,7,18.29,18.29,2022-06-26 13:51:04.317811,2022-06-21,True
57,20220621  08:45:00,18.21,18.215,2,18.22,18.21,2022-06-26 13:51:04.317811,2022-06-21,True
58,20220621  08:50:00,18.18,18.17846,6,18.18,18.17,2022-06-26 13:51:04.317811,2022-06-21,True
59,20220621  08:55:00,18.2743,18.27281,30,18.29,18.16,2022-06-26 13:51:04.317811,2022-06-21,True
60,20220621  09:00:00,18.18,18.2563,20,18.29,18.18,2022-06-26 13:51:04.317811,2022-06-21,True
61,20220621  09:05:00,18.18,18.18,13,18.18,18.18,2022-06-26 13:51:04.317811,2022-06-21,True
62,20220621  09:10:00,18.25,18.25,2,18.25,18.25,2022-06-26 13:51:04.317811,2022-06-21,True
63,20220621  09:15:00,18.25,18.23428,32,18.25,18.18,2022-06-26 13:51:04.317811,2022-06-21,True
